SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
CHEROKEE TRAIL HIGH SCHOOL,130,CHERRY CREEK 5,H,,1551,0,0,0,Performance Plan,Performance Plan,,2,0,9,77,9,8,9,8,9,7,9,7,6,87.1
KATHRYN SENOR ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,,4510,0,0,0,Performance Plan,Performance Plan,,1,0,12,77,,6,9,9,,12,9,9,12,
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,H,,2840,0,0,0,,,,2,0,9,77,6,7,6,6,9,6,4,7,9,93.3
FLAGSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,2965,0,0,0,Performance Plan,Performance Plan,,1,0,12,78,9,9,9,9,9,12,10,12,12,
HARRIS BILINGUAL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,3787,0,0,0,Performance Plan,Performance Plan,,1,0,12,78,7,6,8,8,6,12,12,10,12,
HERITAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,3926,0,0,0,Performance Plan,Performance Plan,,1,0,12,78,11,11,10,12,10,9,12,6,9,
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,458,0,1,0,,,,1,0,12,78,7,9,7,8,6,12,12,12,9,
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,H,,6902,0,0,0,,,,2,0,9,79,8,7,6,9,9,8,9,6,8,95.3
GRANDVIEW HIGH SCHOOL,130,CHERRY CREEK 5,H,,3589,0,0,0,Performance Plan,Performance Plan,,2,0,9,80,9,9,9,9,9,8,9,6,8,87.3
FALCON HIGH SCHOOL,1110,FALCON 49,H,,2908,0,0,0,Performance Plan,Performance Plan,,2,0,9,81,9,9,8,9,7,9,7,9,9,88.8
SARGENT SENIOR HIGH SCHOOL,2750,SARGENT RE-33J,H,,7664,0,0,0,Performance Plan,Performance Plan,,2,0,9,81,9,10,7,9,7,6,6,5,9,95.7
NUCLA HIGH SCHOOL,2190,WEST END RE-2,H,,6436,0,0,0,,,,2,0,9,81,6,6,6,4,6,6,9,7,1,76
OURAY MIDDLE SCHOOL,2580,OURAY R-1,M,,6598,0,0,0,Performance Plan,Performance Plan,,1,0,12,82,9,9,6,10,7,13,12,13,13,
WEST WOODS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9429,0,0,0,Performance Plan,Performance Plan,,1,0,12,83,12,12,12,11,11,9,9,9,7,
HIGH PLAINS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,1572,0,0,0,Performance Plan,Performance Plan,,1,0,12,84,9,9,11,9,9,12,10,11,11,
COPPER MESA ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1899,0,0,0,Performance Plan,Performance Plan,,1,0,12,84,9,9,10,9,9,12,12,10,10,
LYONS ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,5364,0,0,0,Performance Plan,Performance Plan,,1,0,12,84,7,8,8,6,10,13,12,12,12,
UPPER BLUE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,,8993,0,0,0,Performance Plan,Performance Plan,,1,0,12,84,11,11,12,9,12,12,12,12,10,
NORWOOD HIGH SCHOOL,2840,NORWOOD R-2J,H,,6422,0,0,0,,,,2,0,9,84,8,6,7,9,9,6,6,10,4,
DAKOTA RIDGE SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,2093,0,0,0,Performance Plan,Performance Plan,,2,0,9,85,10,9,10,9,9,7,6,9,5,83.9
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,H,,9608,0,0,0,,,,2,0,9,85,9,8,9,9,7,6,6,9,5,90.8
CHAPARRAL HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,1503,0,0,0,Performance Plan,Performance Plan,,2,0,9,87,9,9,9,9,9,7,6,6,8,91.2
ELIZABETH HIGH SCHOOL,920,ELIZABETH C-1,H,,2608,0,0,0,Performance Plan,Performance Plan,,2,0,9,87,9,9,9,9,9,6,7,6,6,94.8
BEACH COURT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,650,0,0,0,Performance Plan,Performance Plan,,1,0,12,88,9,9,10,9,6,13,13,13,13,
WARDER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9232,0,0,0,Performance Plan,Performance Plan,,1,0,12,88,8,7,7,9,9,13,13,12,13,
WIGGINS ELEMENTARY SCHOOL,2515,WIGGINS RE-50(J),E,,9576,0,0,0,Performance Plan,Performance Plan,,1,0,12,88,9,9,9,7,6,13,12,12,12,
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,,42,0,1,0,,,,1,0,12,88,9,9,9,10,9,13,12,12,12,
COLUMBINE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1864,0,0,0,Performance Plan,Performance Plan,,2,0,9,89,9,9,10,9,9,7,9,7,6,83.1
WOODLIN UNDIVIDED HIGH SCHOOL,3070,WOODLIN R-104,H,,9704,0,0,0,,,,2,0,9,89,6,7,6,5,11,11,7,12,10,85.7
CENTENNIAL HIGH SCHOOL,640,CENTENNIAL R-1,H,,1398,0,0,0,Performance Plan,Performance Plan,,2,0,9,91,5,5,5,6,5,12,12,12,12,71.8
DENVER CENTER FOR INTERNATIONAL STUDIES,880,DENVER COUNTY 1,H,,2183,0,0,0,,,,2,0,9,91,7,9,7,6,6,9,9,8,6,92.5
SLAVENS K-8 SCHOOL,880,DENVER COUNTY 1,E,,7972,0,0,0,,,,1,0,12,92,12,11,13,11,11,12,9,12,10,
BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,H,,570,0,0,0,Performance Plan,Performance Plan,,2,0,9,93,6,6,8,6,6,12,10,12,9,86.8
CANYON CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,1273,0,0,0,Performance Plan,Performance Plan,,1,0,12,93,9,8,10,9,7,12,12,12,10,
KRUSE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4793,0,0,0,Performance Plan,Performance Plan,,1,0,12,93,10,10,10,10,9,12,12,12,9,
PALISADE HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,6666,0,0,0,Performance Plan,Performance Plan,,2,0,9,93,9,7,9,8,9,12,10,12,11,75.2
WHEAT RIDGE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,9510,0,0,0,Performance Plan,Performance Plan,,2,0,9,93,7,6,8,6,7,9,9,9,6,75.7
MERINO JUNIOR SENIOR HIGH SCHOOL,1860,BUFFALO RE-4J,H,,5806,0,0,0,,,,2,0,8,93,9,9,8,9,11,6,9,5,6,89.7
SEMPER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7753,0,0,0,Performance Plan,Performance Plan,,1,0,12,95,9,9,9,9,9,12,11,12,9,
UNIVERSITY PARK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,8970,0,0,0,Performance Plan,Performance Plan,,1,0,12,95,9,9,9,8,9,12,11,11,9,
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,,146,0,1,0,,,,1,0,12,95,10,12,7,12,12,10,9,8,10,
MONARCH K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,,6000,0,0,0,,,,1,0,12,95,12,12,10,11,12,9,6,9,9,
CHATFIELD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1522,0,0,0,Performance Plan,Performance Plan,,2,0,9,97,9,9,11,9,9,6,3,9,3,92.9
SUMMIT HIGH SCHOOL,3000,SUMMIT RE-1,H,,8378,0,0,0,Performance Plan,Performance Plan,,2,0,9,98,7,6,8,9,7,9,7,9,11,82.3
ELK CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2616,0,0,0,Performance Plan,Performance Plan,,1,0,12,99,11,10,11,11,11,11,9,9,12,
PEAKVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,6820,0,0,0,Performance Plan,Performance Plan,,1,0,12,99,9,9,10,9,9,11,11,9,12,
PINE GROVE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,6938,0,0,0,Performance Plan,Performance Plan,,1,0,12,99,12,13,12,12,11,9,9,9,9,
RALSTON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7238,0,0,0,Performance Plan,Performance Plan,,1,0,12,99,13,12,13,13,12,10,9,7,12,
RED ROCKS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7282,0,0,0,Performance Plan,Performance Plan,,1,0,12,99,12,13,12,13,12,10,9,9,10,
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,M,,465,0,0,0,,,,1,0,12,99,7,7,7,8,6,12,10,12,9,
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,H,,8456,0,0,0,,,,2,0,9,99,8,9,7,9,6,6,6,6,7,95.3
ESTES PARK HIGH SCHOOL,1570,PARK (ESTES PARK) R-3,H,,2794,0,0,0,Performance Plan,Performance Plan,,2,0,9,100,10,9,10,10,9,7,6,8,9,88.4
HAYDEN HIGH SCHOOL,2760,HAYDEN RE-1,H,,3862,0,0,0,Performance Plan,Performance Plan,,2,0,9,100,6,6,6,6,6,8,9,7,7,95.2
LAKEWOOD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4942,0,0,0,Performance Plan,Performance Plan,,2,0,9,100,9,9,10,9,9,6,6,6,6,81.2
MARTIN LUTHER KING JR. EARLY COLLEGE,880,DENVER COUNTY 1,H,,5605,0,0,0,,,,2,0,9,100,5,6,6,5,5,10,12,8,9,88.5
BERTHOUD HIGH SCHOOL,1560,THOMPSON R2-J,H,,812,0,0,0,Performance Plan,Performance Plan,,2,0,9,104,9,9,10,9,8,6,6,6,5,94.5
LIBERTY HIGH SCHOOL,1040,ACADEMY 20,H,,5126,0,0,0,Performance Plan,Performance Plan,,2,0,9,104,9,9,9,9,9,6,6,5,6,87.5
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,M,,1730,0,0,0,,,,1,0,12,105,9,9,8,7,11,13,13,13,10,
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,498,0,0,0,Performance Plan,Performance Plan,,1,0,12,106,12,12,13,12,9,10,9,9,10,
PLATTE VALLEY HIGH SCHOOL,3130,PLATTE VALLEY RE-7,H,,4670,0,0,0,Performance Plan,Performance Plan,,2,0,9,106,6,6,6,7,7,7,7,7,7,84
UTE MEADOWS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9008,0,0,0,Performance Plan,Performance Plan,,1,0,12,106,10,10,10,9,11,11,12,9,9,
HAXTUN HIGH SCHOOL,2630,HAXTUN RE-2J,H,,3850,0,0,0,Performance Plan,Performance Plan,,2,0,9,107,6,7,6,6,6,8,6,8,9,90
PONDEROSA HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,7118,0,0,0,Performance Plan,Performance Plan,,2,0,9,108,9,9,9,9,6,6,6,6,6,91.9
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,,561,0,0,0,,,,1,0,12,108,6,6,7,6,6,13,12,13,12,
COLUMBINE HILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1861,0,0,0,Performance Plan,Performance Plan,,1,0,12,109,9,9,9,7,7,10,9,10,10,
PLATEAU VALLEY HIGH SCHOOL,1990,PLATEAU VALLEY 50,H,,7032,0,0,0,Performance Plan,Performance Plan,,2,0,9,109,7,8,6,9,6,10,12,9,6,88
SIDE CREEK ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,7865,0,0,0,Performance Plan,Performance Plan,,1,0,12,109,6,6,9,6,7,12,10,12,12,
JEFFERSON COUNTY OPEN SECONDARY,1420,JEFFERSON COUNTY R-1,H,,6541,0,0,0,,,,2,0,9,109,6,6,5,6,6,12,10,10,12,41.5
CHEYENNE WELLS HIGH SCHOOL,520,CHEYENNE COUNTY RE-5,H,,1612,0,0,0,Performance Plan,Performance Plan,,2,0,8,111,6,6,6,6,6,9,8,9,7,87.8
RUNYON ELEMENTARY SCHOOL,140,LITTLETON 6,E,,7518,0,0,0,Performance Plan,Performance Plan,,1,0,12,111,12,12,12,10,11,10,12,9,7,
STANDLEY LAKE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,8209,0,0,0,Performance Plan,Performance Plan,,2,0,8,111,9,8,9,8,8,8,7,8,9,83.7
LOPEZ ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5292,0,0,0,Performance Plan,Performance Plan,,1,0,12,112,9,9,9,8,6,11,10,9,12,
PECK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6828,0,0,0,Performance Plan,Performance Plan,,1,0,12,112,9,9,8,9,8,10,10,9,10,
MOUNTAIN VIEW HIGH SCHOOL,1560,THOMPSON R2-J,H,,6163,0,0,0,Performance Plan,Performance Plan,,2,0,8,113,7,7,7,7,6,7,7,7,7,81.7
DEVINNY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2194,0,0,0,Performance Plan,Performance Plan,,1,0,12,114,12,12,11,11,12,10,11,9,9,
LEGEND HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,4271,0,0,0,Performance Plan,Performance Plan,,2,0,8,114,9,9,9,9,9,6,6,5,9,
WEST DENVER PREP:  FEDERAL CAMPUS,880,DENVER COUNTY 1,M,,8085,0,1,0,Performance Plan,Performance Plan,,1,0,12,114,6,5,7,6,7,13,13,13,13,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,E,,5120,0,1,0,,,,1,0,12,114,13,13,12,13,10,9,6,8,13,
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,H,,5136,0,0,0,,,,2,0,8,114,7,7,7,9,7,7,7,5,10,91.4
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,M,,6838,0,0,0,,,,1,0,12,114,10,10,9,12,10,12,7,9,13,
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,3230,LIBERTY J-4,H,,5123,0,0,0,,,,2,0,8,116,6,6,6,6,6,9,6,10,9,91.7
PALMER RIDGE HIGH SCHOOL,1080,LEWIS-PALMER 38,H,,6678,0,0,0,Performance Plan,Performance Plan,,2,0,8,117,10,9,10,10,10,3,1,4,5,
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,H,,3228,0,0,0,,,,2,0,8,117,7,9,7,9,6,9,9,7,10,85
RICE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,7325,0,0,0,Performance Plan,Performance Plan,,1,0,12,118,8,7,8,7,8,11,9,10,12,
ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,,75,0,1,0,Performance Plan,Performance Plan,,2,0,8,119,11,12,10,11,10,6,6,5,6,
PINE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,6955,0,0,0,Performance Plan,Performance Plan,,1,0,11,119,10,9,12,9,8,12,9,13,9,
YORK INTERNATIONAL,10,MAPLETON 1,H,,503,0,0,0,,,,2,0,8,119,6,6,6,6,6,12,12,9,12,
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,H,,8929,0,1,0,,,,2,0,8,119,9,10,7,7,6,12,13,11,12,
BEAR CANYON ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,651,0,0,0,Performance Plan,Performance Plan,,1,0,11,120,12,10,12,12,10,10,9,11,10,
BROADWAY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1046,0,0,0,Performance Plan,Performance Plan,,1,0,11,121,8,9,9,7,7,10,10,10,9,
FRASER VALLEY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3182,0,0,0,Performance Plan,Performance Plan,,1,0,11,121,9,9,8,9,8,9,10,6,9,
GREENWOOD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,3648,0,0,0,Performance Plan,Performance Plan,,1,0,11,121,13,13,13,12,13,9,7,9,10,
HOMESTEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,4078,0,0,0,Performance Plan,Performance Plan,,1,0,11,121,12,12,12,12,12,10,10,12,6,
STEIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,8248,0,0,0,Performance Plan,Performance Plan,,1,0,11,121,6,6,6,7,6,12,11,12,12,
WRAY ELEMENTARY SCHOOL,3210,WRAY RD-2,E,,9725,0,0,0,Performance Plan,Performance Plan,,1,0,11,121,,9,11,8,,12,9,12,10,
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,170,DEER TRAIL 26J,H,,2140,0,0,0,,,,2,0,8,122,6,7,6,6,6,9,9,9,7,98.1
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,H,,3546,0,0,0,,,,2,0,8,123,6,7,6,6,5,6,12,6,4,
RANGELY JUNIOR/SENIOR HIGH SCHOOL,2720,RANGELY RE-4,H,,7276,0,0,0,,,,2,0,8,124,7,6,7,6,9,12,12,10,10,83.8
CLEAR CREEK HIGH SCHOOL,540,CLEAR CREEK RE-1,H,,4216,0,0,0,Performance Plan,Performance Plan,,2,0,8,125,7,7,6,7,8,6,6,5,9,81.900000000000006
WRAY HIGH SCHOOL,3210,WRAY RD-2,H,,9733,0,0,0,Performance Plan,Performance Plan,,2,0,8,125,7,7,6,7,9,9,9,7,11,86.3
GOLDEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,3502,0,0,0,Performance Plan,Performance Plan,,2,0,8,127,9,9,9,9,9,6,6,7,6,79.7
MANCOS HIGH SCHOOL,2070,MANCOS RE-6,H,,5452,0,0,0,Performance Plan,Performance Plan,,2,0,8,127,8,9,9,6,6,9,6,9,9,79.3
MANNING OPTIONS SCHOOL,1420,JEFFERSON COUNTY R-1,M,,5472,0,0,0,Performance Plan,Performance Plan,,1,0,11,127,13,13,12,13,13,9,7,10,8,
RICARDO FLORES MAGON ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,,7278,0,1,0,Performance Plan,Performance Plan,,1,0,11,128,10,9,13,9,7,12,6,12,12,
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,M,,3605,0,0,0,,,,1,0,11,128,6,6,6,7,6,10,12,9,9,
LYONS MIDDLE/SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,M,,5368,0,0,0,,,,1,0,11,128,9,9,9,10,12,12,9,12,10,
THOMPSON VALLEY HIGH SCHOOL,1560,THOMPSON R2-J,H,,8824,0,0,0,Performance Plan,Performance Plan,,2,0,8,129,9,7,9,8,8,7,6,8,6,81.599999999999994
CENTAURUS HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,1380,0,0,0,Performance Plan,Performance Plan,,2,0,7,130,6,6,7,6,6,6,5,9,6,84
MEAD HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,,5722,0,0,0,Performance Plan,Performance Plan,,2,0,7,130,8,6,9,9,6,6,6,6,6,
LITTLETON PREP CHARTER SCHOOL,140,LITTLETON 6,M,,5233,0,1,0,,,,1,0,11,131,9,12,7,12,9,9,9,9,8,
ODYSSEY CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,,6479,0,1,0,,,,1,0,11,131,9,11,8,10,9,12,7,12,12,
TWIN PEAKS CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,E,,8927,0,1,0,,,,1,0,11,131,10,10,9,10,10,11,12,6,12,
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,H,,2988,0,0,0,,,,2,0,7,132,10,9,10,9,9,6,4,6,6,92
UNIVERSITY SCHOOLS,3120,GREELEY 6,H,,2850,0,1,0,,,,2,0,7,133,6,6,7,6,6,7,5,9,6,85.4
DEL NORTE MIDDLE SCHOOL,2730,DEL NORTE C-7,M,,2148,0,0,0,Performance Plan,Performance Plan,,1,0,11,134,6,6,6,6,8,13,12,13,11,
FOWLER HIGH SCHOOL,2540,FOWLER R-4J,H,,3134,0,0,0,Performance Plan,Performance Plan,,2,0,7,134,6,6,6,7,6,7,6,7,6,85.7
BLUE MOUNTAIN ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,,878,0,0,0,Performance Plan,Performance Plan,,1,0,11,135,12,11,11,12,12,9,10,5,10,
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,,2589,0,0,0,,,,1,0,11,135,12,9,12,12,12,9,9,7,10,
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,H,,7156,0,0,0,,,,2,0,7,135,9,9,9,9,9,7,8,6,9,84.8
CASTLE VIEW HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,1367,0,0,0,Performance Plan,Performance Plan,,2,0,7,136,9,8,9,8,8,5,3,6,6,87.1
ROCKY MOUNTAIN HIGH SCHOOL,1550,POUDRE R-1,H,,7470,0,0,0,Performance Plan,Performance Plan,,2,0,7,136,9,9,9,9,9,7,6,6,9,90.7
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,779,0,0,0,Performance Plan,Performance Plan,,1,0,11,137,12,12,12,12,12,9,9,8,9,
BUFFALO RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1131,0,0,0,Performance Plan,Performance Plan,,1,0,11,137,12,12,11,12,8,8,6,7,9,
COYOTE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,1937,0,0,0,Performance Plan,Performance Plan,,1,0,11,137,11,11,12,9,9,10,12,9,9,
ROLLING HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,7476,0,0,0,Performance Plan,Performance Plan,,1,0,11,137,11,11,12,10,9,10,9,9,9,
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,E,,1579,0,1,0,,,,1,0,11,137,12,10,12,12,9,9,9,10,9,
OMAR D BLAIR CHARTER SCHOOL,880,DENVER COUNTY 1,E,,6508,0,1,0,,,,1,0,11,137,6,6,6,6,5,10,10,9,9,
EAGLECREST HIGH SCHOOL,130,CHERRY CREEK 5,H,,2357,0,0,0,Performance Plan,Performance Plan,,2,0,7,138,7,6,7,6,7,7,6,7,6,79.900000000000006
PLATTE CANYON HIGH SCHOOL,2600,PLATTE CANYON 1,H,,7046,0,0,0,Performance Plan,Performance Plan,,2,0,7,139,9,8,10,9,9,6,5,9,5,84.4
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,H,,2024,0,0,0,,,,2,0,7,140,6,6,6,5,7,11,12,9,9,84.6
PAGOSA SPRINGS HIGH SCHOOL,220,ARCHULETA COUNTY 50 JT,H,,6658,0,0,0,Performance Plan,Performance Plan,,2,0,7,141,7,7,9,6,7,6,6,9,5,88.1
MEEKER HIGH SCHOOL,2710,MEEKER RE1,H,,5762,0,0,0,Performance Plan,Performance Plan,,2,0,7,142,7,7,6,6,10,8,8,10,5,97.8
COUGAR RUN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1925,0,0,0,Performance Plan,Performance Plan,,1,0,11,143,10,10,10,10,8,11,12,9,10,
EAGLE VALLEY MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,,2355,0,0,0,Performance Plan,Performance Plan,,1,0,11,143,9,9,8,10,9,12,11,10,12,
SILVER CREEK HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,,7789,0,0,0,Performance Plan,Performance Plan,,2,0,7,143,10,9,9,9,9,5,6,5,6,86.4
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,6212,0,0,0,,,,2,0,7,144,9,8,9,7,10,6,6,6,8,84.5
DOUGLAS COUNTY HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,2230,0,0,0,Performance Plan,Performance Plan,,2,0,7,145,9,9,9,9,7,5,6,4,6,87.1
EISENHOWER ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,2552,0,0,0,Performance Plan,Performance Plan,,1,0,11,145,9,9,10,9,11,9,9,8,9,
FAIRMOUNT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2866,0,0,0,Performance Plan,Performance Plan,,1,0,11,145,10,9,10,9,10,13,13,12,12,
GRAND VALLEY HIGH SCHOOL,1220,GARFIELD 16,H,,3586,0,0,0,Performance Plan,Performance Plan,,2,0,7,145,6,6,6,6,6,10,10,6,12,77.8
HOFF ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,4526,0,0,0,Performance Plan,Performance Plan,,1,0,11,147,9,9,8,9,7,9,9,9,8,
RAY E KILMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,,4686,0,0,0,Performance Plan,Performance Plan,,1,0,11,147,12,12,11,12,10,9,9,6,9,
SANDBURG ELEMENTARY SCHOOL,140,LITTLETON 6,E,,7606,0,0,0,Performance Plan,Performance Plan,,1,0,11,147,12,12,12,12,10,9,12,9,6,
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,H,,1634,0,0,0,,,,2,0,7,147,7,8,7,7,9,8,6,9,7,80.400000000000006
MANITOU SPRINGS HIGH SCHOOL,1030,MANITOU SPRINGS 14,H,,5468,0,0,0,Performance Plan,Performance Plan,,2,0,7,148,6,6,6,7,6,5,1,6,5,97.3
THE PINNACLE CHARTER SCHOOL HIGH,8001,CHARTER SCHOOL INSTITUTE,H,,6914,0,1,0,Performance Plan,Performance Plan,,2,0,7,149,6,6,6,6,6,9,11,6,9,90.4
FOOTHILL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,3022,0,0,0,Performance Plan,Performance Plan,,1,0,10,150,12,12,12,12,12,9,9,7,10,
LAKE COUNTY HIGH SCHOOL,1510,LAKE COUNTY R-1,H,,4904,0,0,0,Performance Plan,Performance Plan,,2,0,7,150,5,6,6,5,6,12,13,13,10,70.8
MAPLE GROVE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5524,0,0,0,Performance Plan,Performance Plan,,1,0,10,150,12,12,11,11,10,11,12,6,12,
TELLURIDE MIDDLE SCHOOL,2830,TELLURIDE R-1,M,,8790,0,0,0,Performance Plan,Performance Plan,,1,0,10,150,9,9,7,10,13,11,11,9,12,
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,1519,0,1,0,,,,1,0,10,150,12,12,13,12,12,8,7,6,9,
FRED N THOMAS CAREER EDUCATION CENTER,880,DENVER COUNTY 1,H,,1319,0,0,0,Performance Plan,Performance Plan,,2,0,7,151,8,9,8,7,6,7,10,6,7,85.7
FRUITA MONUMENT HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,6070,0,0,0,Performance Plan,Performance Plan,,2,0,7,152,9,9,7,8,9,9,9,9,7,86.2
