SchoolName,DistrictNumber,DistrictName,EMH,EMH_combined,SchoolNumber,AEC_10,CharterorOnline,LowestGrade,HighestGrade,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
OURAY MIDDLE SCHOOL,2580,OURAY R-1,M,,6598,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,64,8,9,6,10,7,13,13,12,12,
CONIFER SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1886,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,65,12,11,12,11,11,7,7,6,7,89.2
HOTCHKISS HIGH SCHOOL,0870,DELTA COUNTY 50(J),H,,4128,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,66,7,7,7,8,7,9,9,6,10,95.3
UNIVERSITY PARK ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,8970,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,67,9,9,9,9,9,12,12,11,9,
FLAGSTONE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2965,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,67,9,9,10,9,8,12,10,10,10,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,EMH,2799,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,9,67,,,,,,,,,,
MONARCH HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,5999,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,68,11,9,12,10,10,6,5,7,6,97.7
RAMPART HIGH SCHOOL,1040,ACADEMY 20,H,,7240,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,69,10,9,10,10,9,6,6,6,6,93
COPPER MESA ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1899,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,69,10,9,12,9,9,12,12,10,9,
POMONA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,7114,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,69,9,8,9,9,7,10,9,10,9,88
STANDLEY LAKE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,8209,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,69,9,8,9,9,8,9,6,9,9,88.7
NIWOT ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,6274,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,70,12,12,12,11,12,10,12,6,10,
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,,0042,0,Charter,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,71,9,10,9,10,10,13,12,12,12,
LINCOLN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,5158,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,71,7,6,7,6,10,13,12,12,11,
WEST DENVER PREP:  FEDERAL CAMPUS,0880,DENVER COUNTY 1,M,,8085,0,Charter,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,71,6,6,9,6,9,13,13,13,13,
GALETON ELEMENTARY SCHOOL,3085,EATON RE-2,E,,3286,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,71,7,7,9,8,6,13,12,12,12,
LYONS ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,5364,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,71,7,8,9,6,10,13,13,13,13,
CUSTER COUNTY HIGH SCHOOL,0860,CUSTER COUNTY SCHOOL DISTR,H,,2092,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,72,9,9,8,9,9,10,7,12,9,93.2
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,H,,5136,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,72,8,8,8,9,7,9,9,6,10,95
FRUITA MONUMENT HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,6070,0,,10th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,72,9,10,8,9,9,12,12,12,9,87.9
WRAY HIGH SCHOOL,3210,WRAY RD-2,H,,9733,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,72,7,7,7,7,9,10,8,9,12,94.3
CHERAW HIGH SCHOOL,2560,CHERAW 31,H,,1546,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,76,7,8,6,7,8,6,5,7,7,
CHEYENNE MOUNTAIN CHARTER ACADEMY,1020,CHEYENNE MOUNTAIN 12,E,,1582,0,Charter,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,76,13,12,12,13,11,10,12,7,9,
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,0880,DENVER COUNTY 1,M,MH,2185,0,Charter,6th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,76,,10,9,12,,13,13,13,13,
COLUMBINE HILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1861,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,76,8,9,8,7,6,10,11,9,10,
UNION COLONY PREPARATORY SCHOOL,3120,GREELEY 6,H,,8965,0,Charter,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,77,9,12,7,10,9,8,7,6,9,73
PALMER RIDGE HIGH SCHOOL,1080,LEWIS-PALMER 38,H,,6678,0,,9th Grade,11th Grade,Performance Plan,Performance Plan,,2,0,9,77,11,9,11,10,11,5,3,6,5,
LEGACY HIGH SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,5043,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,79,9,9,10,9,9,9,9,9,9,86.7
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,,0146,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,1,0,12,79,12,12,8,12,11,11,9,7,13,
SIDE CREEK ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,7865,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,80,7,6,9,6,7,13,11,12,12,
PONDEROSA HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,7118,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,80,9,9,9,9,9,6,5,6,6,93.8
WOODLIN UNDIVIDED HIGH SCHOOL,3070,WOODLIN R-104,H,,9704,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,80,6,7,6,6,9,12,7,12,9,82.1
HOMESTEAD ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,4078,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,81,12,12,13,12,12,7,9,6,6,
CAMPBELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1238,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,81,9,8,9,9,8,13,11,12,12,
WILDER ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,9600,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,81,13,12,13,12,12,9,9,6,11,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,H,,4492,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,82,9,9,10,9,9,11,12,10,8,87.9
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,EMH,1869,0,Charter,Pre-Kindergarten,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,9,83,,,,,,,,,,
CLEAR CREEK HIGH SCHOOL,0540,CLEAR CREEK RE-1,H,,4216,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,84,8,7,7,9,9,10,7,8,12,84.9
RALSTON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7238,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,84,12,12,12,13,12,10,11,9,9,
AURORA QUEST ACADEMY,0180,ADAMS-ARAPAHOE 28J,E,EM,7232,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,85,13,13,13,13,13,12,10,13,9,
AURORA QUEST ACADEMY,0180,ADAMS-ARAPAHOE 28J,M,EM,7232,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,85,13,13,13,13,13,7,7,9,6,
SOROCO HIGH SCHOOL,2780,SOUTH ROUTT RE 3,H,,8050,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,85,9,9,9,7,9,12,9,12,8,86.8
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,H,EMH,2018,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,9,86,,10,9,9,,,,,,
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,H,,2837,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,87,9,10,6,9,7,6,7,6,6,
CORE KNOWLEDGE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,1873,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,87,12,12,12,13,10,9,9,9,9,
STEAMBOAT SPRINGS MIDDLE SCHOOL,2770,STEAMBOAT SPRINGS RE-2,M,,8210,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,87,11,11,9,12,11,9,7,10,9,
MERINO JUNIOR SENIOR HIGH SCHOOL,1860,BUFFALO RE-4,H,,5806,0,,7th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,8,88,9,9,8,9,10,6,6,5,8,92.3
COYOTE RIDGE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1937,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,89,9,9,11,9,9,9,10,9,9,
CHEYENNE WELLS HIGH SCHOOL,0520,CHEYENNE COUNTY RE-5,H,,1612,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,89,8,8,9,8,7,9,12,6,9,90.2
MCGRAW ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5688,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,89,10,10,10,10,9,12,10,12,10,
BROOMFIELD HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,1070,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,90,9,9,9,9,8,6,5,6,6,92.9
PAGOSA SPRINGS HIGH SCHOOL,0220,ARCHULETA COUNTY 50 JT,H,,6658,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,91,9,9,9,9,9,9,8,12,6,87
WILDFLOWER ELEMENTARY SCHOOL,0980,HARRISON 2,E,,9602,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,91,10,9,9,11,9,10,8,9,12,
CREEKSIDE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1970,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,92,10,9,11,9,9,12,13,10,10,
PLATTE CANYON HIGH SCHOOL,2600,PLATTE CANYON 1,H,,7046,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,92,9,7,10,8,9,7,6,12,6,92.6
LIBERTY HIGH SCHOOL,1040,ACADEMY 20,H,,5126,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,93,10,9,9,9,10,6,6,6,7,91.7
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,M,,2006,0,,Kindergarten,12th Grade,Performance Plan,Performance Plan,,1,0,12,93,10,12,7,11,10,10,7,10,12,
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,E,,5093,0,Charter,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,93,12,11,12,12,12,10,9,7,12,
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,,0640,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,94,8,8,7,8,8,6,5,9,6,96.1
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,H,MH,1224,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,9,94,6,6,6,6,10,12,12,8,12,100
ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,E,,0428,0,,Pre-Kindergarten,4th Grade,Performance Plan,Performance Plan,,1,0,12,95,,10,12,9,,9,9,9,9,
ANTELOPE RIDGE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0242,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,95,9,7,10,9,7,12,10,10,11,
DEL NORTE MIDDLE SCHOOL,2730,DEL NORTE C-7,M,,2148,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,95,6,6,6,6,9,13,13,13,12,
LYONS MIDDLE/SENIOR HIGH SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,MH,5368,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,95,9,9,8,9,9,9,7,9,9,
TWIN PEAKS CHARTER ACADEMY,0470,ST VRAIN VALLEY RE 1J,E,EM,8927,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,95,9,9,9,9,9,10,9,9,12,
TWIN PEAKS CHARTER ACADEMY,0470,ST VRAIN VALLEY RE 1J,M,EM,8927,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,95,10,11,7,12,9,12,11,10,11,
DOUGLAS COUNTY HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,2230,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,96,9,9,9,9,7,6,6,6,6,90.1
WALSH HIGH SCHOOL,0230,WALSH RE-1,H,,9226,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,97,8,11,7,7,7,6,6,9,5,91.3
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,6212,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,98,9,9,9,9,12,9,6,9,9,89.1
MANCOS HIGH SCHOOL,2070,MANCOS RE-6,H,,5452,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,98,7,8,9,6,7,9,9,7,9,92.4
BERTHOUD HIGH SCHOOL,1560,THOMPSON R-2J,H,,0812,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,100,10,10,10,9,9,7,8,7,6,92.4
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,H,EMH,7701,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,9,101,6,6,6,7,6,6,7,6,8,89.3
LEWIS-PALMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,,5096,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,101,12,11,12,10,11,10,10,9,11,
SIMLA HIGH SCHOOL,0940,BIG SANDY 100J,H,,7922,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,102,7,6,9,8,7,9,6,7,13,81
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,,1586,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,102,13,12,13,13,13,10,10,7,12,
ACADEMY CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,0011,0,Charter,Kindergarten,9th Grade,Performance Plan,Performance Plan,,1,0,12,102,10,9,12,9,9,12,12,12,6,
GRAND LAKE ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3572,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,102,9,9,9,7,9,12,12,9,12,
MAPLE GROVE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5524,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,102,12,12,11,11,11,12,12,12,9,
SANDBURG ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,7606,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,102,12,12,12,10,12,9,10,9,9,
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0766,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,102,12,10,12,10,11,12,13,12,8,
CARRIE MARTIN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,1323,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,102,9,9,9,6,12,11,9,12,10,
DELTA HIGH SCHOOL,0870,DELTA COUNTY 50(J),H,,2164,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,103,6,7,7,6,6,9,12,6,9,92.4
CASTLE VIEW HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,1367,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,104,9,9,9,9,9,6,6,6,6,87.1
CHEROKEE TRAIL HIGH SCHOOL,0130,CHERRY CREEK 5,H,,1551,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,105,9,9,9,9,8,7,7,8,6,88.4
GOLDEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,3502,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,105,9,9,10,9,9,6,6,9,6,82.5
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,H,,6358,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,105,9,9,7,10,10,7,6,9,6,82.8
SOUTHERN COLORADO EARLY COLLEGE,2700,PUEBLO COUNTY 70,H,,7879,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,105,9,10,7,11,9,7,7,8,7,
SUMMIT MIDDLE CHARTER SCHOOL,0480,BOULDER VALLEY RE 2,M,,8387,0,Charter,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,109,13,13,13,13,13,9,7,9,12,
LARKSPUR ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,4980,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,109,9,9,9,9,9,12,11,12,9,
PIONEER ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,6961,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,109,9,9,9,9,8,10,10,9,9,
HARRIS BILINGUAL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,3787,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,109,7,7,9,8,6,12,11,10,12,
THOMPSON VALLEY HIGH SCHOOL,1560,THOMPSON R-2J,H,,8824,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,109,8,7,9,7,7,8,9,9,6,88
FOSSIL RIDGE HIGH SCHOOL,1550,POUDRE R-1,H,,3105,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,110,11,10,10,10,11,4,6,3,6,93.8
STRATTON SENIOR HIGH SCHOOL,1480,STRATTON R-4,H,,8354,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,111,7,7,8,8,6,5,5,6,6,100
WOODLAND PARK HIGH SCHOOL,3020,WOODLAND PARK RE-2,H,,9696,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,111,9,9,9,9,9,6,6,6,8,85
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,0480,BOULDER VALLEY RE 2,E,,0919,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,113,11,11,10,10,12,9,9,9,10,
CENTENNIAL HIGH SCHOOL,0640,CENTENNIAL R-1,H,,1398,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,113,,6,6,6,,13,12,12,10,81.3
KRUSE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4793,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,113,9,9,10,9,9,10,10,9,10,
MANITOU SPRINGS HIGH SCHOOL,1030,MANITOU SPRINGS 14,H,,5468,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,114,9,9,8,9,8,6,6,7,6,88.7
FLAGLER MIDDLE SCHOOL,1450,ARRIBA-FLAGLER C-20,M,,2958,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,115,7,8,6,9,9,12,11,11,13,
CANYON CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1273,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,115,9,7,9,9,7,12,13,10,10,
REDSTONE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,7297,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,115,10,10,12,9,10,11,9,9,12,
VISTA RIDGE HIGH SCHOOL,1110,FALCON 49,H,,8791,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,115,8,7,9,9,7,6,6,6,6,
DOLORES HIGH SCHOOL,2055,DOLORES RE-4A,H,,2208,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,116,8,8,9,7,9,7,5,12,6,90.8
LAKEWOOD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4942,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,117,9,9,11,9,9,6,6,6,6,82.1
EISENHOWER ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2552,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,118,10,9,11,9,12,10,9,9,9,
COYOTE HILLS ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0243,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,118,12,12,13,12,11,8,7,9,7,
ELIZABETH HIGH SCHOOL,0920,ELIZABETH C-1,H,,2608,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,118,9,9,9,9,8,6,7,5,6,90.3
CHATFIELD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1522,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,119,9,9,11,9,9,6,3,7,5,89.1
MARSHDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5580,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,120,11,10,12,10,11,10,7,12,10,
OTIS JUNIOR-SENIOR HIGH SCHOOL,3050,OTIS R-3,H,,6586,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,120,12,10,10,11,12,6,3,6,7,83.3
SCOTT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,7705,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,121,12,12,12,12,9,9,9,7,12,
BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0664,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,121,8,7,9,8,7,6,6,6,5,90.7
ERIE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,2758,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,121,7,6,7,6,8,12,12,9,12,
FLORENCE HIGH SCHOOL,1150,FREMONT RE-2,H,,3002,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,122,6,6,6,6,6,9,8,9,9,90.4
PLATTE VALLEY HIGH SCHOOL,3130,PLATTE VALLEY RE-7,H,,4670,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,122,7,6,6,7,9,6,6,7,6,92.1
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,0110,SANGRE DE CRISTO RE-22J,H,,7630,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,122,6,6,6,6,6,6,6,6,8,93.1
WILLOW CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,9624,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,123,12,12,12,12,12,9,7,11,8,
EAGLE RIDGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2234,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,11,123,10,10,10,9,10,12,12,11,10,
SILVER CREEK ELEMENTARY,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,7795,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,125,9,9,12,9,9,10,9,11,9,
UNIVERSITY SCHOOLS,3120,GREELEY 6,H,,2850,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,8,125,6,7,6,7,6,6,6,7,5,91.7
CORONADO ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1876,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,11,125,10,10,10,10,12,10,12,9,9,
WINDSOR HIGH SCHOOL,3100,WINDSOR RE-4,H,,9672,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,8,125,8,8,7,9,7,6,5,6,6,86.2
THE CLASSICAL ACADEMY MIDDLE SCHOOL,1040,ACADEMY 20,M,,1629,0,Charter,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,11,127,11,12,9,12,12,9,10,9,7,
MONARCH K-8 SCHOOL,0480,BOULDER VALLEY RE 2,E,,6000,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,11,127,11,10,10,12,10,11,9,9,12,
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,0170,DEER TRAIL 26J,H,,2140,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,7,127,6,6,6,6,6,6,6,5,9,95.3
ELLICOTT SENIOR HIGH SCHOOL,1050,ELLICOTT 22,H,,2642,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,7,128,6,6,6,6,6,7,9,5,9,91.7
EAGLECREST HIGH SCHOOL,0130,CHERRY CREEK 5,H,,2357,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,7,129,7,6,8,7,7,7,6,8,7,83.6
SADDLE RANCH ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,7562,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,11,129,11,10,12,11,8,10,9,9,9,
MEADOW MOUNTAIN ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,5742,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,11,130,6,5,6,6,6,12,13,10,10,
